grid_id,pedestrian_10h,pedestrian_18h,pedestrian_22h,pattern
G003610,1701.772820742581,1806.1426464484991,3183.4763334406975,"10h=1701.7728, 18h=1806.1426, 22h=3183.4763"
G003496,1362.2095735509874,1422.6310194665102,2275.1016198331376,"10h=1362.2096, 18h=1422.6310, 22h=2275.1016"
G003724,1037.5983548335487,1088.0344133199574,1846.8240613477878,"10h=1037.5984, 18h=1088.0344, 22h=1846.8241"
G003611,1025.078985960787,1063.3011299062787,1609.6632184805392,"10h=1025.0790, 18h=1063.3011, 22h=1609.6632"
G003609,892.3975873850422,892.0130545355812,1018.2950251486027,"10h=892.3976, 18h=892.0131, 22h=1018.2950"
G003495,845.6191824483554,839.1802985372011,893.1568644706725,"10h=845.6192, 18h=839.1803, 22h=893.1569"
G003725,716.6562106311765,759.3605812453318,1312.2572864178521,"10h=716.6562, 18h=759.3606, 22h=1312.2573"
G008115,440.7555706980972,704.889644810705,635.0871807108771,"10h=440.7556, 18h=704.8896, 22h=635.0872"
G006489,408.25180235039886,686.7619063001101,499.36077962123505,"10h=408.2518, 18h=686.7619, 22h=499.3608"
G003723,668.5748458726624,642.4829348185347,464.35272121967,"10h=668.5748, 18h=642.4829, 22h=464.3527"
G006347,280.8015195975951,638.8006981865178,609.7341001520706,"10h=280.8015, 18h=638.8007, 22h=609.7341"
G003838,612.5787148768477,629.4381066739854,992.298919543697,"10h=612.5787, 18h=629.4381, 22h=992.2989"
G003839,589.4070507671029,608.4335586379116,977.8044161170598,"10h=589.4071, 18h=608.4336, 22h=977.8044"
G006490,356.2102226738941,581.6438707325478,408.88375152649724,"10h=356.2102, 18h=581.6439, 22h=408.8838"
G002521,621.5481841900635,580.1121675945716,666.5953025696704,"10h=621.5482, 18h=580.1122, 22h=666.5953"
G006204,256.454610710637,575.8500850943266,552.3380082520326,"10h=256.4546, 18h=575.8501, 22h=552.3380"
G003380,610.8294166686377,574.0025862328616,265.06448989222207,"10h=610.8294, 18h=574.0026, 22h=265.0645"
G003381,610.8294166686377,574.0025862328616,265.06448989222207,"10h=610.8294, 18h=574.0026, 22h=265.0645"
G003494,610.8294166686377,574.0025862328616,265.06448989222207,"10h=610.8294, 18h=574.0026, 22h=265.0645"
G003608,610.8294166686377,574.0025862328616,265.06448989222207,"10h=610.8294, 18h=574.0026, 22h=265.0645"
G003722,610.8294166686377,574.0025862328616,265.06448989222207,"10h=610.8294, 18h=574.0026, 22h=265.0645"
G003382,605.1066376638174,568.6301480251622,262.6017949307869,"10h=605.1066, 18h=568.6301, 22h=262.6018"
G003836,602.599487729301,566.251335878021,261.49088454564446,"10h=602.5995, 18h=566.2513, 22h=261.4909"
G003268,602.5553446275151,565.6426094517537,261.4075303427161,"10h=602.5553, 18h=565.6426, 22h=261.4075"
G008245,346.0036152293798,556.5604956421878,505.3306847784835,"10h=346.0036, 18h=556.5605, 22h=505.3307"
G003837,577.2660608180792,542.4997953836563,255.86129819416627,"10h=577.2661, 18h=542.4998, 22h=255.8613"
G012695,736.0268126818867,541.4975093563032,630.0176665061917,"10h=736.0268, 18h=541.4975, 22h=630.0177"
G003386,571.8702857837997,537.7167592806142,249.85536602311385,"10h=571.8703, 18h=537.7168, 22h=249.8554"
G002522,567.0590325774607,532.824314859294,591.6061192291304,"10h=567.0590, 18h=532.8243, 22h=591.6061"
G003840,512.0281676430055,530.9710525223174,857.1014447542512,"10h=512.0282, 18h=530.9711, 22h=857.1014"
G003614,553.6794905000536,522.5113502729519,249.79757328160474,"10h=553.6795, 18h=522.5114, 22h=249.7976"
G003500,551.4169830849486,518.8010018648137,242.60923133185864,"10h=551.4170, 18h=518.8010, 22h=242.6092"
G007983,326.72757188170965,514.1834756996631,465.4185531976316,"10h=326.7276, 18h=514.1835, 22h=465.4186"
G002405,540.711636311857,501.86580405414617,571.0979094615012,"10h=540.7116, 18h=501.8658, 22h=571.0979"
G008114,315.6059514799868,501.6891440003617,441.40227211096555,"10h=315.6060, 18h=501.6891, 22h=441.4023"
G003497,507.2973979399403,500.27749220817174,496.8509220454349,"10h=507.2974, 18h=500.2775, 22h=496.8509"
G003267,531.8844909901239,494.23802262034593,230.17255295836063,"10h=531.8845, 18h=494.2380, 22h=230.1726"
G012767,634.9975848812841,470.7878774865308,547.8617181422189,"10h=634.9976, 18h=470.7879, 22h=547.8617"
G003842,488.3175267443349,466.6885420944453,239.3264771914153,"10h=488.3175, 18h=466.6885, 22h=239.3265"
G002406,483.83549102830534,460.59961580608876,477.0720288500244,"10h=483.8355, 18h=460.5996, 22h=477.0720"
G008119,177.88247588881114,450.0838106530857,270.3682839402705,"10h=177.8825, 18h=450.0838, 22h=270.3683"
G008252,177.88247588881114,450.0838106530857,270.3682839402705,"10h=177.8825, 18h=450.0838, 22h=270.3683"
G008251,177.41855216608695,448.85169794855466,269.78651467541187,"10h=177.4186, 18h=448.8517, 22h=269.7865"
G006188,505.18377054834787,447.929173822513,369.8583869311419,"10h=505.1838, 18h=447.9292, 22h=369.8584"
G008382,175.3085761648983,442.78684293516386,265.54299385670055,"10h=175.3086, 18h=442.7868, 22h=265.5430"
G008250,173.9381899828556,435.67360259897526,261.21372678647487,"10h=173.9382, 18h=435.6736, 22h=261.2137"
G006187,487.84323574744695,431.3727935948329,356.01270781079825,"10h=487.8432, 18h=431.3728, 22h=356.0127"
G002523,444.37792816602916,419.8689650353598,434.9079629471658,"10h=444.3779, 18h=419.8690, 22h=434.9080"
G006043,470.5646219193277,414.9158478021156,342.55002100153894,"10h=470.5646, 18h=414.9158, 22h=342.5500"
G006042,465.590277686587,410.1722404519483,338.62614598014045,"10h=465.5903, 18h=410.1722, 22h=338.6261"
G007984,269.17121010738526,409.92182746840535,367.72372085393243,"10h=269.1712, 18h=409.9218, 22h=367.7237"
G003266,448.35272960978944,409.83900093502194,193.2533345917994,"10h=448.3527, 18h=409.8390, 22h=193.2533"
G005626,385.84084618585877,406.4973823271787,465.53600224521307,"10h=385.8408, 18h=406.4974, 22h=465.5360"
G006189,456.1923853439367,404.646004264981,352.2980183630542,"10h=456.1924, 18h=404.6460, 22h=352.2980"
G003379,425.14116190848125,399.50945352373947,184.4865720908626,"10h=425.1412, 18h=399.5095, 22h=184.4866"
G004469,481.2052661576545,391.86682283314445,171.53691550912268,"10h=481.2053, 18h=391.8668, 22h=171.5369"
G004597,481.2052661576545,391.86682283314445,171.53691550912268,"10h=481.2053, 18h=391.8668, 22h=171.5369"
G004726,481.2052661576545,391.86682283314445,171.53691550912268,"10h=481.2053, 18h=391.8668, 22h=171.5369"
G004988,481.2052661576545,391.86682283314445,171.53691550912268,"10h=481.2053, 18h=391.8668, 22h=171.5369"
G005119,481.2052661576545,391.86682283314445,171.53691550912268,"10h=481.2053, 18h=391.8668, 22h=171.5369"
G005252,481.2052661576545,391.86682283314445,171.53691550912268,"10h=481.2053, 18h=391.8668, 22h=171.5369"
G005253,481.2052661576545,391.86682283314445,171.53691550912268,"10h=481.2053, 18h=391.8668, 22h=171.5369"
G005386,481.2052661576545,391.86682283314445,171.53691550912268,"10h=481.2053, 18h=391.8668, 22h=171.5369"
G005520,481.2052661576545,391.86682283314445,171.53691550912268,"10h=481.2053, 18h=391.8668, 22h=171.5369"
G005521,481.2052661576545,391.86682283314445,171.53691550912268,"10h=481.2053, 18h=391.8668, 22h=171.5369"
G005657,481.2052661576545,391.86682283314445,171.53691550912268,"10h=481.2053, 18h=391.8668, 22h=171.5369"
G005658,481.2052661576545,391.86682283314445,171.53691550912268,"10h=481.2053, 18h=391.8668, 22h=171.5369"
G004856,481.11354833190285,391.79223255528467,171.5064347570953,"10h=481.1135, 18h=391.7922, 22h=171.5064"
G005659,480.71666007881504,391.52918152314345,171.79704836106703,"10h=480.7167, 18h=391.5292, 22h=171.7970"
G004857,480.15720803751157,390.93838675633486,171.24964388659234,"10h=480.1572, 18h=390.9384, 22h=171.2496"
