rank_source,grid_id,pedestrian_10h,pedestrian_18h,pedestrian_22h
pedestrian_10h,G003610,1701.772820742581,1806.1426464484991,3183.4763334406975
pedestrian_10h,G003496,1362.2095735509874,1422.6310194665102,2275.1016198331376
pedestrian_10h,G003724,1037.5983548335487,1088.0344133199574,1846.8240613477878
pedestrian_10h,G003611,1025.078985960787,1063.3011299062787,1609.6632184805392
pedestrian_10h,G003609,892.3975873850422,892.0130545355812,1018.2950251486027
pedestrian_10h,G003495,845.6191824483554,839.1802985372011,893.1568644706725
pedestrian_10h,G012695,736.0268126818867,541.4975093563032,630.0176665061917
pedestrian_10h,G003725,716.6562106311765,759.3605812453318,1312.2572864178521
pedestrian_10h,G003723,668.5748458726624,642.4829348185347,464.35272121967
pedestrian_10h,G012767,634.9975848812841,470.7878774865308,547.8617181422189
pedestrian_10h,G006629,621.6234404895398,786.3653033567067,338.52183767230986
pedestrian_10h,G002521,621.5481841900635,580.1121675945716,666.5953025696704
pedestrian_10h,G003838,612.5787148768477,629.4381066739854,992.298919543697
pedestrian_10h,G003381,610.8294166686377,574.0025862328616,265.06448989222207
pedestrian_10h,G003722,610.8294166686377,574.0025862328616,265.06448989222207
pedestrian_10h,G003380,610.8294166686377,574.0025862328616,265.06448989222207
pedestrian_10h,G003494,610.8294166686377,574.0025862328616,265.06448989222207
pedestrian_10h,G003608,610.8294166686377,574.0025862328616,265.06448989222207
pedestrian_10h,G003382,605.1066376638174,568.6301480251622,262.6017949307869
pedestrian_10h,G003836,602.599487729301,566.251335878021,261.49088454564446
pedestrian_18h,G003610,1701.772820742581,1806.1426464484991,3183.4763334406975
pedestrian_18h,G003496,1362.2095735509874,1422.6310194665102,2275.1016198331376
pedestrian_18h,G003724,1037.5983548335487,1088.0344133199574,1846.8240613477878
pedestrian_18h,G003611,1025.078985960787,1063.3011299062787,1609.6632184805392
pedestrian_18h,G003609,892.3975873850422,892.0130545355812,1018.2950251486027
pedestrian_18h,G003495,845.6191824483554,839.1802985372011,893.1568644706725
pedestrian_18h,G006629,621.6234404895398,786.3653033567067,338.52183767230986
pedestrian_18h,G003725,716.6562106311765,759.3605812453318,1312.2572864178521
pedestrian_18h,G008115,440.7555706980972,704.889644810705,635.0871807108771
pedestrian_18h,G006489,408.25180235039886,686.7619063001101,499.36077962123505
pedestrian_18h,G006630,510.3297177436841,657.3136480482013,346.3678330499663
pedestrian_18h,G003723,668.5748458726624,642.4829348185347,464.35272121967
pedestrian_18h,G006347,280.8015195975951,638.8006981865178,609.7341001520706
pedestrian_18h,G003838,612.5787148768477,629.4381066739854,992.298919543697
pedestrian_18h,G003839,589.4070507671029,608.4335586379116,977.8044161170598
pedestrian_18h,G006490,356.2102226738941,581.6438707325478,408.88375152649724
pedestrian_18h,G002521,621.5481841900635,580.1121675945716,666.5953025696704
pedestrian_18h,G006204,256.454610710637,575.8500850943266,552.3380082520326
pedestrian_18h,G003608,610.8294166686377,574.0025862328616,265.06448989222207
pedestrian_18h,G003381,610.8294166686377,574.0025862328616,265.06448989222207
pedestrian_22h,G003610,1701.772820742581,1806.1426464484991,3183.4763334406975
pedestrian_22h,G003496,1362.2095735509874,1422.6310194665102,2275.1016198331376
pedestrian_22h,G003724,1037.5983548335487,1088.0344133199574,1846.8240613477878
pedestrian_22h,G003611,1025.078985960787,1063.3011299062787,1609.6632184805392
pedestrian_22h,G003725,716.6562106311765,759.3605812453318,1312.2572864178521
pedestrian_22h,G003609,892.3975873850422,892.0130545355812,1018.2950251486027
pedestrian_22h,G003838,612.5787148768477,629.4381066739854,992.298919543697
pedestrian_22h,G003839,589.4070507671029,608.4335586379116,977.8044161170598
pedestrian_22h,G003495,845.6191824483554,839.1802985372011,893.1568644706725
pedestrian_22h,G003840,512.0281676430055,530.9710525223174,857.1014447542512
pedestrian_22h,G005924,258.99871121057527,325.5165832909645,691.1910365749465
pedestrian_22h,G002521,621.5481841900635,580.1121675945716,666.5953025696704
pedestrian_22h,G006068,275.1142460761462,316.86767773845776,642.9780515390294
pedestrian_22h,G006213,291.30838008635254,347.60088445709005,637.297832306522
pedestrian_22h,G008115,440.7555706980972,704.889644810705,635.0871807108771
pedestrian_22h,G012695,736.0268126818867,541.4975093563032,630.0176665061917
pedestrian_22h,G006347,280.8015195975951,638.8006981865178,609.7341001520706
pedestrian_22h,G002522,567.0590325774607,532.824314859294,591.6061192291304
pedestrian_22h,G006069,266.36906998700846,298.82220173423946,577.8341393582151
pedestrian_22h,G002405,540.711636311857,501.86580405414617,571.0979094615012
